OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,5.5,United States
70482,Carcinoma of esophagus,Point prevalence,Value and class,1-9 / 100 000,9.8,Worldwide
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,6.873,France
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-5 / 10 000,10.82,United Kingdom
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,3.9,India
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-5 / 10 000,20.0,China
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,2.3,Africa
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,9.0,Japan
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,3.9,Canada
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,8.0,Russian Federation
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-5 / 10 000,13.0,Latin America
70482,Carcinoma of esophagus,Point prevalence,Value and class,1-9 / 1 000 000,0.34,"Iran, Islamic Republic of"
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,3.293,Austria
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,7.892,Belgium
70482,Carcinoma of esophagus,Annual incidence,Value and class,1-9 / 100 000,1.194,Bulgaria
